Time,X,Rho,P,U,W
0.000222,38.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,39.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,39.167684,68.077704,50233530.517967,312.468891,0.151169
0.000222,39.232316,68.077916,50233998.134892,0.000526,0.151164
0.000222,39.342945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,39.450000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,39.557055,28.092455,18870454.988899,78.653016,0.000000
0.000222,39.667684,68.077704,50233530.517967,312.468891,0.151169
0.000222,39.732316,68.077916,50233998.134892,0.000526,0.151164
0.000222,39.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,39.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,40.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,40.167684,68.077704,50233530.517967,312.468891,0.151169
0.000222,40.232316,68.077916,50233998.134892,0.000526,0.151164
0.000222,40.342945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,40.450000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,40.557055,28.092455,18870454.988899,78.653016,0.000000
0.000222,40.667684,68.077704,50233530.517967,312.468891,0.151169
0.000222,40.732316,68.077916,50233998.134892,0.000526,0.151164
0.000222,40.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,40.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,41.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,41.167684,68.077704,50233530.517967,312.468891,0.151169
0.000222,41.232316,68.077916,50233998.134892,0.000526,0.151164
0.000222,41.342945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,41.450000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,41.557055,28.092455,18870454.988899,78.653016,0.000000
0.000222,41.667684,68.077704,50233530.517967,312.468891,0.151169
0.000222,41.732316,68.077916,50233998.134892,0.000526,0.151164
0.000222,41.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,41.950000,76.542084,69213755.369505,-78.653088,0.000000
